Node1,Node2,Weight
0,1,1
0,2,-1
0,3,-1
0,5,-1
0,11,1
0,12,-1
0,13,-1
0,15,1
0,17,-1
0,21,-1
0,23,-1
0,27,-1
0,29,-1
0,31,1
0,36,1
0,38,-1
0,40,1
0,44,1
0,45,-1
0,48,-1
0,56,-1
0,57,1
0,63,-1
0,67,1
0,79,1
0,86,1
1,8,1
1,9,1
1,13,-1
1,15,-1
1,16,-1
1,22,1
1,23,1
1,25,-1
1,30,1
1,31,-1
1,32,-1
1,33,1
1,34,1
1,35,-1
1,37,-1
1,38,1
1,40,-1
1,43,1
1,44,1
1,49,-1
1,57,1
1,64,-1
1,68,1
1,71,1
1,75,-1
1,77,1
1,90,-1
1,95,-1
2,3,-1
2,4,-1
2,6,-1
2,10,-1
2,16,1
2,17,1
2,18,1
2,23,1
2,25,-1
2,26,-1
2,49,-1
2,54,1
2,58,1
2,60,-1
2,64,-1
2,65,1
2,67,-1
2,72,-1
2,75,-1
2,79,1
3,7,1
3,9,-1
3,13,1
3,21,1
3,26,-1
3,31,1
3,34,1
3,36,1
3,43,1
3,44,-1
3,46,-1
3,47,-1
3,48,-1
3,49,1
3,58,-1
3,62,-1
3,63,1
3,64,1
3,70,-1
3,74,1
3,79,-1
3,83,-1
3,88,1
4,9,1
4,12,1
4,14,1
4,15,1
4,20,-1
4,24,-1
4,25,1
4,26,-1
4,30,-1
4,31,-1
4,32,1
4,34,-1
4,40,-1
4,41,1
4,44,1
4,45,-1
4,52,-1
4,57,-1
4,60,-1
4,67,1
4,76,-1
4,77,1
4,79,1
4,80,-1
4,92,-1
5,6,1
5,7,-1
5,10,-1
5,12,1
5,13,1
5,20,1
5,23,-1
5,24,-1
5,25,1
5,30,-1
5,34,1
5,39,-1
5,46,1
5,49,-1
5,56,-1
5,60,-1
5,61,-1
5,63,1
5,65,1
5,75,-1
5,77,-1
5,79,-1
5,85,1
5,97,-1
6,8,-1
6,12,1
6,22,-1
6,24,1
6,28,-1
6,29,1
6,32,-1
6,44,-1
6,49,1
6,56,1
6,58,-1
6,60,1
6,68,-1
6,73,-1
6,74,1
6,76,1
6,77,1
6,79,1
6,82,-1
6,89,1
6,90,1
6,91,1
7,14,-1
7,16,1
7,17,-1
7,19,-1
7,20,-1
7,21,1
7,22,1
7,28,-1
7,35,1
7,37,1
7,41,-1
7,45,-1
7,58,1
7,62,1
7,66,1
7,73,1
7,82,-1
7,85,-1
7,86,1
7,97,-1
8,9,1
8,11,-1
8,13,-1
8,15,-1
8,19,1
8,21,-1
8,22,1
8,23,-1
8,24,1
8,26,-1
8,27,1
8,28,-1
8,31,1
8,32,-1
8,34,1
8,38,1
8,39,1
8,40,-1
8,41,-1
8,44,-1
8,51,1
8,54,-1
8,56,-1
8,58,1
8,59,-1
8,64,1
8,65,1
8,67,1
8,71,1
8,78,-1
8,81,-1
8,84,1
9,11,-1
9,12,-1
9,18,-1
9,22,1
9,25,1
9,28,1
9,38,1
9,39,1
9,40,1
9,41,-1
9,42,-1
9,44,1
9,49,-1
9,52,-1
9,54,1
9,55,-1
9,57,-1
9,60,-1
9,69,1
9,75,-1
9,76,-1
9,83,-1
10,13,-1
10,18,-1
10,22,1
10,23,1
10,24,1
10,32,1
10,33,-1
10,36,-1
10,40,1
10,41,-1
10,46,1
10,51,1
10,52,-1
10,53,-1
10,65,-1
10,69,-1
10,71,1
10,77,-1
10,81,-1
10,88,1
11,16,-1
11,21,-1
11,22,-1
11,25,1
11,27,-1
11,29,-1
11,30,1
11,33,1
11,40,-1
11,43,1
11,45,1
11,53,-1
11,54,1
11,55,-1
11,64,1
11,67,1
11,68,1
11,69,1
11,76,-1
11,78,-1
11,85,1
11,93,1
12,15,-1
12,16,1
12,17,1
12,19,-1
12,23,1
12,24,-1
12,25,-1
12,30,1
12,33,-1
12,34,1
12,36,-1
12,41,1
12,42,1
12,43,-1
12,47,1
12,50,-1
12,51,1
12,52,-1
12,54,-1
12,60,1
12,67,-1
12,69,-1
12,81,-1
12,84,1
12,87,1
12,97,-1
12,99,-1
13,17,1
13,21,1
13,24,1
13,27,-1
13,29,1
13,36,1
13,38,1
13,39,1
13,41,-1
13,44,-1
13,51,-1
13,54,-1
13,58,1
13,62,1
13,63,-1
13,72,-1
13,75,1
13,77,-1
13,81,-1
13,83,-1
13,85,1
13,90,1
13,97,-1
14,15,-1
14,17,1
14,18,-1
14,21,1
14,22,1
14,23,-1
14,24,-1
14,26,1
14,28,1
14,32,-1
14,41,1
14,42,-1
14,43,-1
14,46,-1
14,49,1
14,51,1
14,54,-1
14,56,-1
14,62,1
14,63,-1
14,68,-1
14,73,1
14,80,-1
14,90,-1
15,19,1
15,20,1
15,23,-1
15,25,1
15,26,1
15,28,-1
15,29,-1
15,32,-1
15,39,-1
15,43,-1
15,46,1
15,47,-1
15,49,-1
15,68,-1
15,73,-1
15,75,1
15,76,1
15,77,-1
15,80,1
15,82,-1
15,83,-1
15,85,-1
15,88,1
15,92,-1
15,93,-1
16,17,1
16,19,1
16,20,-1
16,21,-1
16,22,-1
16,25,1
16,29,-1
16,31,-1
16,33,1
16,35,-1
16,36,1
16,37,1
16,38,-1
16,40,-1
16,41,-1
16,42,-1
16,43,1
16,45,1
16,47,-1
16,48,-1
16,52,-1
16,60,1
16,62,1
16,64,-1
16,67,-1
16,68,1
16,72,1
16,75,-1
16,76,-1
16,82,-1
16,85,-1
16,86,-1
16,97,1
17,18,1
17,19,1
17,21,-1
17,27,-1
17,29,-1
17,35,-1
17,46,-1
17,48,1
17,52,-1
17,57,-1
17,58,-1
17,60,1
17,62,1
17,65,-1
17,66,-1
17,67,-1
17,68,1
17,70,-1
17,71,-1
17,79,1
17,82,-1
17,86,-1
17,90,1
17,98,-1
18,20,1
18,22,-1
18,23,1
18,25,-1
18,31,-1
18,40,-1
18,41,-1
18,42,-1
18,50,1
18,51,-1
18,52,-1
18,53,-1
18,55,-1
18,56,-1
18,58,-1
18,61,1
18,68,1
18,77,-1
18,82,1
18,86,-1
19,32,-1
19,35,-1
19,40,-1
19,42,-1
19,49,-1
19,52,-1
19,57,-1
19,58,-1
19,60,-1
19,62,-1
19,67,-1
19,70,1
19,71,1
19,74,-1
19,76,-1
19,81,-1
19,84,-1
19,86,-1
19,90,1
20,21,-1
20,23,-1
20,25,1
20,29,1
20,33,-1
20,36,1
20,37,1
20,40,1
20,41,-1
20,42,1
20,44,-1
20,46,-1
20,51,-1
20,53,-1
20,54,1
20,60,-1
20,65,1
20,66,1
20,73,-1
20,77,1
20,86,1
20,87,-1
20,89,1
20,92,1
20,93,-1
21,23,1
21,26,1
21,27,1
21,29,-1
21,40,1
21,41,-1
21,46,-1
21,53,1
21,61,-1
21,62,1
21,65,-1
21,73,-1
21,74,-1
21,76,1
21,78,1
21,79,1
21,80,-1
21,86,-1
21,90,1
21,92,-1
21,95,1
21,96,-1
22,24,-1
22,30,1
22,36,-1
22,37,-1
22,38,1
22,45,1
22,47,-1
22,52,-1
22,62,-1
22,63,-1
22,71,1
22,73,-1
22,75,-1
22,80,1
22,87,-1
22,89,-1
22,91,1
22,94,1
22,97,-1
23,25,-1
23,30,-1
23,34,-1
23,35,1
23,39,-1
23,45,1
23,46,1
23,47,1
23,49,-1
23,50,1
23,54,1
23,57,1
23,64,-1
23,70,1
23,71,-1
23,72,-1
23,73,1
23,92,1
23,95,1
23,99,-1
24,26,-1
24,28,1
24,33,1
24,36,1
24,42,-1
24,44,1
24,45,-1
24,47,-1
24,49,1
24,51,1
24,57,-1
24,68,1
24,78,1
24,86,-1
24,92,-1
24,96,-1
25,28,-1
25,31,1
25,34,1
25,38,-1
25,39,1
25,40,1
25,44,1
25,47,1
25,50,1
25,52,-1
25,54,-1
25,56,-1
25,60,1
25,61,1
25,67,-1
25,68,-1
25,75,1
25,78,1
25,86,1
25,87,1
25,88,1
25,92,-1
26,30,-1
26,34,-1
26,36,1
26,44,1
26,45,1
26,46,1
26,50,-1
26,51,-1
26,54,-1
26,55,1
26,58,1
26,62,1
26,71,1
26,73,-1
26,74,1
26,82,-1
27,29,-1
27,30,-1
27,31,1
27,33,-1
27,35,1
27,37,1
27,39,-1
27,41,1
27,55,1
27,56,1
27,57,-1
27,59,-1
27,60,-1
27,64,1
27,67,-1
27,75,-1
27,76,-1
27,79,1
27,84,-1
27,85,1
27,95,-1
28,29,-1
28,32,1
28,34,-1
28,35,-1
28,38,-1
28,39,-1
28,41,-1
28,47,-1
28,50,-1
28,51,1
28,53,-1
28,58,1
28,61,-1
28,63,1
28,70,1
28,75,1
28,78,1
28,79,-1
28,81,1
28,83,-1
28,89,1
28,98,-1
29,31,1
29,32,1
29,33,1
29,36,-1
29,37,1
29,38,1
29,39,1
29,43,-1
29,44,1
29,46,1
29,47,1
29,48,-1
29,49,-1
29,50,-1
29,53,1
29,62,-1
29,65,-1
29,66,1
29,74,-1
29,76,-1
29,84,-1
29,87,-1
29,88,1
29,90,1
29,92,1
29,96,1
30,31,1
30,33,1
30,34,-1
30,35,1
30,37,-1
30,40,-1
30,45,-1
30,48,-1
30,49,-1
30,53,1
30,54,-1
30,57,-1
30,58,-1
30,60,-1
30,63,-1
30,64,-1
30,69,1
30,75,-1
30,85,1
30,86,1
30,92,1
30,96,1
31,33,1
31,36,1
31,40,-1
31,42,1
31,46,-1
31,48,-1
31,49,1
31,50,1
31,51,1
31,53,-1
31,55,-1
31,57,-1
31,60,1
31,63,-1
31,64,1
31,74,1
31,77,1
31,82,-1
31,85,-1
31,91,-1
32,33,1
32,34,-1
32,36,1
32,38,1
32,39,-1
32,41,-1
32,42,-1
32,43,-1
32,46,-1
32,48,1
32,49,-1
32,57,-1
32,59,1
32,60,-1
32,79,-1
32,82,-1
32,85,1
32,86,1
32,90,1
32,92,1
32,98,1
33,36,1
33,37,1
33,39,-1
33,41,-1
33,45,-1
33,49,-1
33,50,-1
33,60,1
33,67,-1
33,74,1
33,77,-1
33,87,1
33,92,-1
33,97,1
34,35,1
34,39,1
34,42,-1
34,60,1
34,61,1
34,64,-1
34,66,-1
34,68,1
34,71,-1
34,72,-1
34,74,1
34,77,-1
34,78,-1
34,80,1
34,81,1
34,84,-1
34,95,-1
35,39,-1
35,40,1
35,44,-1
35,45,1
35,47,-1
35,50,1
35,53,1
35,61,1
35,64,-1
35,70,1
35,72,-1
35,74,1
35,85,1
35,86,-1
35,96,1
35,98,1
36,44,-1
36,47,-1
36,48,1
36,53,-1
36,61,1
36,62,-1
36,63,-1
36,73,1
36,76,-1
36,78,-1
36,81,1
36,82,1
36,84,1
36,87,-1
36,89,1
36,91,-1
36,93,-1
36,98,-1
37,40,-1
37,41,1
37,42,-1
37,47,-1
37,48,1
37,51,-1
37,53,1
37,57,-1
37,58,1
37,60,-1
37,61,1
37,65,1
37,79,-1
37,81,1
37,82,1
37,84,-1
37,87,-1
37,88,-1
37,90,-1
37,93,1
37,95,-1
37,97,1
38,44,-1
38,50,1
38,52,1
38,54,-1
38,58,1
38,61,1
38,62,1
38,64,-1
38,75,-1
38,76,1
38,78,1
38,87,1
38,90,1
38,94,-1
38,99,-1
39,41,1
39,42,-1
39,44,-1
39,48,1
39,49,-1
39,50,1
39,51,1
39,52,-1
39,57,1
39,58,1
39,61,1
39,63,-1
39,64,-1
39,67,1
39,68,1
39,71,-1
39,73,-1
39,75,1
39,80,-1
39,93,-1
39,94,1
39,95,1
39,99,1
40,46,-1
40,48,-1
40,50,-1
40,51,-1
40,53,-1
40,56,-1
40,58,-1
40,60,1
40,62,1
40,63,-1
40,64,1
40,68,1
40,71,-1
40,75,-1
40,77,-1
40,80,-1
40,82,1
40,87,-1
40,90,1
40,99,1
41,45,-1
41,46,1
41,49,-1
41,51,1
41,57,-1
41,60,1
41,61,-1
41,62,-1
41,69,1
41,73,-1
41,77,1
41,78,-1
41,83,1
41,84,1
41,88,1
41,89,-1
41,90,-1
41,94,-1
41,95,-1
41,97,-1
42,44,-1
42,45,1
42,46,-1
42,48,-1
42,51,-1
42,52,1
42,54,-1
42,57,-1
42,61,1
42,63,1
42,71,1
42,72,-1
42,77,-1
42,78,1
42,79,-1
42,82,1
42,83,1
43,44,1
43,48,1
43,49,1
43,51,1
43,52,-1
43,57,1
43,58,-1
43,59,1
43,60,1
43,61,-1
43,64,1
43,67,1
43,72,1
43,76,-1
43,77,1
43,83,-1
43,92,1
43,95,-1
43,96,-1
43,98,1
44,46,1
44,48,-1
44,52,-1
44,55,1
44,65,1
44,70,1
44,71,1
44,73,1
44,74,1
44,75,-1
44,79,1
44,80,-1
44,87,1
44,92,1
44,94,1
44,98,1
44,99,1
45,48,-1
45,50,-1
45,53,1
45,56,-1
45,57,-1
45,58,1
45,64,1
45,67,-1
45,74,1
45,75,-1
45,77,-1
45,80,1
45,81,-1
45,83,-1
45,85,1
45,87,1
45,89,-1
45,94,-1
45,97,1
46,51,-1
46,52,1
46,60,1
46,61,-1
46,65,-1
46,67,-1
46,69,-1
46,74,-1
46,84,-1
46,88,1
46,92,1
46,94,1
46,95,-1
46,99,-1
47,52,1
47,55,-1
47,56,-1
47,59,-1
47,62,-1
47,64,1
47,65,-1
47,66,1
47,67,-1
47,69,-1
47,72,1
47,79,1
47,83,1
47,84,-1
47,86,1
47,90,1
47,92,-1
47,95,1
47,97,-1
48,50,1
48,51,1
48,54,1
48,56,-1
48,58,1
48,64,-1
48,65,1
48,71,-1
48,76,1
48,77,1
48,78,-1
48,85,-1
48,86,1
48,92,1
48,93,-1
48,94,1
48,95,-1
48,99,1
49,50,1
49,51,1
49,53,-1
49,54,1
49,55,1
49,57,-1
49,58,1
49,63,1
49,64,-1
49,71,-1
49,74,-1
49,75,-1
49,79,-1
49,81,1
49,85,1
49,87,-1
49,89,1
49,96,1
49,98,1
49,99,1
50,53,1
50,54,-1
50,58,1
50,59,-1
50,64,-1
50,65,1
50,66,1
50,68,1
50,69,1
50,75,-1
50,79,-1
50,84,-1
50,89,-1
50,90,-1
50,91,-1
50,97,-1
51,52,1
51,53,-1
51,55,1
51,57,-1
51,61,1
51,62,1
51,64,1
51,66,1
51,72,-1
51,73,-1
51,75,-1
51,78,1
51,81,-1
51,84,-1
51,89,-1
51,91,1
51,92,-1
51,93,1
51,94,-1
51,95,-1
51,96,1
51,97,-1
52,54,-1
52,57,-1
52,58,1
52,60,-1
52,62,-1
52,63,-1
52,66,1
52,73,-1
52,74,-1
52,77,-1
52,78,1
52,79,-1
52,80,-1
52,89,1
52,91,1
53,54,1
53,56,1
53,63,1
53,66,-1
53,76,1
53,77,-1
53,84,-1
53,86,-1
53,87,-1
53,88,-1
53,94,1
53,99,-1
54,56,1
54,57,1
54,68,-1
54,69,-1
54,75,1
54,78,1
54,82,-1
54,86,-1
54,87,-1
54,92,1
54,96,1
54,97,1
54,98,1
55,56,-1
55,58,-1
55,59,1
55,62,-1
55,66,1
55,68,-1
55,69,1
55,70,-1
